term,definition,content
Loan modification,"A mortgage loan modification is a change in your loan terms. The modification is a type of loss mitigation. A modification can reduce your monthly payment to an amount you can afford. Modifications may involve extending the number of years you have to repay the loan, reducing your interest rate, and/or forbearing or reducing your principal balance. If you are offered a loan modification, be sure you know how it will change your monthly payments and the total amount that you will owe in the short-term and the long-term. ","A mortgage loan modification is a change in your loan terms. The modification is a type of loss mitigation. A modification can reduce your monthly payment to an amount you can afford. Modifications may involve extending the number of years you have to repay the loan, reducing your interest rate, and/or forbearing or reducing your principal balance. If you are offered a loan modification, be sure you know how it will change your monthly payments and the total amount that you will owe in the short-term and the long-term. "
Loan-to-value ratio,"The loan-to-value (LTV) ratio is a measure comparing the amount of your mortgage with the appraised value of the property. The higher your down payment, the lower your LTV ratio. Mortgage lenders may use the LTV in deciding whether to lend to you and to determine if they will require private mortgage insurance. Learn how your loan-to-value ratio relates to your costs.","The loan-to-value (LTV) ratio is a measure comparing the amount of your mortgage with the appraised value of the property. The higher your down payment, the lower your LTV ratio. Mortgage lenders may use the LTV in deciding whether to lend to you and to determine if they will require private mortgage insurance. Learn how your loan-to-value ratio relates to your costs."
Loss mitigation,"Loss mitigation refers to the steps mortgage servicers take to work with a mortgage borrower to avoid foreclosure. Loss mitigation refers to a servicer's responsibility to reduce or ""mitigate"" the loss to the investor that can come from a foreclosure. Certain loss-mitigation options may help you stay in your home. Other options may help you leave your home without going through foreclosure. Loss mitigation options may include deed-in-lieu of foreclosure, forbearance, repayment plan, short sale, or a loan modification. If you are having trouble making your mortgage payments, or if you have been offered and are considering various loss mitigation options, reach out to a Department of Housing and Urban Development (HUD)-approved housing counseling agency. You can use the CFPB's ""Find a Counselor"" tool to get a list of housing counseling agencies in your area that are approved by HUD. You can also call the HOPE Hotline, open 24 hours a day, seven days a week, If you are impacted by the coronavirus Get more information about mortgage relief options.","Loss mitigation refers to the steps mortgage servicers take to work with a mortgage borrower to avoid foreclosure. Loss mitigation refers to a servicer's responsibility to reduce or ""mitigate"" the loss to the investor that can come from a foreclosure. Certain loss-mitigation options may help you stay in your home. Other options may help you leave your home without going through foreclosure. Loss mitigation options may include deed-in-lieu of foreclosure, forbearance, repayment plan, short sale, or a loan modification. If you are having trouble making your mortgage payments, or if you have been offered and are considering various loss mitigation options, reach out to a Department of Housing and Urban Development (HUD)-approved housing counseling agency. You can use the CFPB's ""Find a Counselor"" tool to get a list of housing counseling agencies in your area that are approved by HUD. You can also call the HOPE Hotline, open 24 hours a day, seven days a week, If you are impacted by the coronavirus Get more information about mortgage relief options."
Margin,The margin is the number of percentage points added to the index by the mortgage lender to set your interest rate on an adjustable-rate mortgage (ARM) after the initial rate period ends. The margin is set in your loan agreement and won't change after closing. The margin amount depends on the particular lender and loan. Understand how the margin factors into an adjustable-rate mortgage loan.,The margin is the number of percentage points added to the index by the mortgage lender to set your interest rate on an adjustable-rate mortgage (ARM) after the initial rate period ends. The margin is set in your loan agreement and won't change after closing. The margin amount depends on the particular lender and loan. Understand how the margin factors into an adjustable-rate mortgage loan.
Monthly expenses,"This is how much you spend every month. It can include, but is not limited to, recurring obligations like rent or mortgage payment, utilities, car payments, child support payments, and insurance payments, as well as essentials like food. Most of these obligations will have a fixed due date. Assess your monthly spending with this spending tracker.","This is how much you spend every month. It can include, but is not limited to, recurring obligations like rent or mortgage payment, utilities, car payments, child support payments, and insurance payments, as well as essentials like food. Most of these obligations will have a fixed due date. Assess your monthly spending with this spending tracker."
Mortgage,"A mortgage is an agreement between you and a lender that allows you to borrow money to purchase or refinance a home and gives the lender the right to take your property if you fail to repay the money you've borrowed. If you are ready to take out a mortgage, learn more about buying a house.","A mortgage is an agreement between you and a lender that allows you to borrow money to purchase or refinance a home and gives the lender the right to take your property if you fail to repay the money you've borrowed. If you are ready to take out a mortgage, learn more about buying a house."
Mortgage closing checklist,A mortgage closing checklist is a list of steps that you can use to prepare and learn what to expect. It can help you identify key questions to ask ahead of time so that you can close with confidence. Use this worksheet to prepare for closing.,A mortgage closing checklist is a list of steps that you can use to prepare and learn what to expect. It can help you identify key questions to ask ahead of time so that you can close with confidence. Use this worksheet to prepare for closing.
Mortgage closing costs,"Mortgage closing costs are all of the costs you will pay at closing. This includes origination charges, appraisal fees, credit report costs, title insurance fees, and any other fees required by your lender or paid as part of a real estate mortgage transaction. Lenders are required to provide a summary of these costs to you in the Loan Estimate. ","Mortgage closing costs are all of the costs you will pay at closing. This includes origination charges, appraisal fees, credit report costs, title insurance fees, and any other fees required by your lender or paid as part of a real estate mortgage transaction. Lenders are required to provide a summary of these costs to you in the Loan Estimate. "
Mortgage insurance,"Mortgage insurance protects the lender if you fall behind on your payments. Mortgage insurance is typically required if your down payment is less than 20 percent of the property value. Mortgage insurance also is typically required on FHA and USDA loans. However, if you have a conventional loan and your down payment is less than 20 percent, you will most likely have private mortgage insurance (PMI). Understand how mortgage insurance works","Mortgage insurance protects the lender if you fall behind on your payments. Mortgage insurance is typically required if your down payment is less than 20 percent of the property value. Mortgage insurance also is typically required on FHA and USDA loans. However, if you have a conventional loan and your down payment is less than 20 percent, you will most likely have private mortgage insurance (PMI). Understand how mortgage insurance works"
Mortgage loan modification,A mortgage loan modification is a change in your loan terms. The modification is a type of loss mitigation. ,A mortgage loan modification is a change in your loan terms. The modification is a type of loss mitigation. 
Mortgage refinance,"Mortgage refinance is when you take out a new loan to pay off and replace your old loan. Common reasons to refinance are to lower the monthly interest rate, lower the mortgage payment, or to borrow additional money. When you refinance, you usually have to pay closing costs and fees. If you refinance and get a lower monthly payment, make sure you understand how much of the reduction is from a lower interest rate and how much is because your loan term is longer. Should I refinance? A Consumer's Guide to Mortgage Refinancings Your Home Loan Toolkit Consumer Handbook on Adjustable-Rate Mortgages","Mortgage refinance is when you take out a new loan to pay off and replace your old loan. Common reasons to refinance are to lower the monthly interest rate, lower the mortgage payment, or to borrow additional money. When you refinance, you usually have to pay closing costs and fees. If you refinance and get a lower monthly payment, make sure you understand how much of the reduction is from a lower interest rate and how much is because your loan term is longer. Should I refinance? A Consumer's Guide to Mortgage Refinancings Your Home Loan Toolkit Consumer Handbook on Adjustable-Rate Mortgages"
Mortgage term,"The term of your mortgage loan is how long you have to repay the loan. For most types of homes, mortgage terms are typically 15, 20 or 30 years. Explore loan term options.","The term of your mortgage loan is how long you have to repay the loan. For most types of homes, mortgage terms are typically 15, 20 or 30 years. Explore loan term options."
Origination Fee,"An origination fee is what the lender charges the borrower for making the mortgage loan. The origination fee may include processing the application, underwriting and funding the loan, and other administrative services. Origination fees generally can only increase under certain circumstances. ","An origination fee is what the lender charges the borrower for making the mortgage loan. The origination fee may include processing the application, underwriting and funding the loan, and other administrative services. Origination fees generally can only increase under certain circumstances. "
Owner's title insurance,Owner's title insurance provides protection to the homeowner if someone sues and says they have a claim against the home from before the homeowner purchased it. ,Owner's title insurance provides protection to the homeowner if someone sues and says they have a claim against the home from before the homeowner purchased it. 
Pace financing,PACE financing provides a way to fund energy efficiency home improvements. ,PACE financing provides a way to fund energy efficiency home improvements. 
Payoff amount,Your payoff amount is how much you will actually have to pay to satisfy the terms of your mortgage loan and completely pay off your debt. Your payoff amount is different from your current balance. Your current balance might not reflect how much you actually have to pay to completely satisfy the loan. Your payoff amount also includes the payment of any interest you owe through the day you intend to pay off your loan. The payoff amount may also include other fees you have incurred and have not yet paid.,Your payoff amount is how much you will actually have to pay to satisfy the terms of your mortgage loan and completely pay off your debt. Your payoff amount is different from your current balance. Your current balance might not reflect how much you actually have to pay to completely satisfy the loan. Your payoff amount also includes the payment of any interest you owe through the day you intend to pay off your loan. The payoff amount may also include other fees you have incurred and have not yet paid.
PCS orders,"Active duty servicemembers may be given permanent change of station (PCS) orders. PCS orders are an official relocation of a servicemember (and any family living with them) to a different duty location. If the servicemember owns a home, they may choose to sell it. If the servicemember owes more on the home than the home is worth, they may have trouble selling their home. Some servicers offer programs to allow servicemembers to sell their home and not have to pay back the rest of the loan balance. Visit servicemember resources for more information.","Active duty servicemembers may be given permanent change of station (PCS) orders. PCS orders are an official relocation of a servicemember (and any family living with them) to a different duty location. If the servicemember owns a home, they may choose to sell it. If the servicemember owes more on the home than the home is worth, they may have trouble selling their home. Some servicers offer programs to allow servicemembers to sell their home and not have to pay back the rest of the loan balance. Visit servicemember resources for more information."
PITI,"Principal, Interest, Taxes, and Insurance, known as PITI, are the four basic elements of a monthly mortgage payment. ","Principal, Interest, Taxes, and Insurance, known as PITI, are the four basic elements of a monthly mortgage payment. "
PMI,Private Mortgage Insurance (PMI) is a type of mortgage insurance that benefits your lender. You might be required to pay for PMI if your down payment is less than 20 percent of the property value and you have a conventional loan. You may be able to cancel PMI once you've accumulated a certain amount of equity in your home. Understand more about when PMI is required,Private Mortgage Insurance (PMI) is a type of mortgage insurance that benefits your lender. You might be required to pay for PMI if your down payment is less than 20 percent of the property value and you have a conventional loan. You may be able to cancel PMI once you've accumulated a certain amount of equity in your home. Understand more about when PMI is required
Prepaid interest charges,Prepaid interest charges are charges due at closing for any daily interest that accrues on your loan between the date you close on your mortgage loan and the period covered by your first monthly mortgage payment. ,Prepaid interest charges are charges due at closing for any daily interest that accrues on your loan between the date you close on your mortgage loan and the period covered by your first monthly mortgage payment. 
Prepayment penalty,"A prepayment penalty is a fee that some lenders charge if you pay off all or part of your mortgage early. If you have a prepayment penalty, you would have agreed to this when you closed on your home. Not all mortgages have a prepayment penalty.","A prepayment penalty is a fee that some lenders charge if you pay off all or part of your mortgage early. If you have a prepayment penalty, you would have agreed to this when you closed on your home. Not all mortgages have a prepayment penalty."
Principal,"The principal is the amount of a mortgage loan that you have to pay back. Your monthly payment includes a portion of that principal. When a payment on the principal is made, the borrower owes less, and will pay less interest based upon a lower loan size. Understand the difference between the interest rate and principal.","The principal is the amount of a mortgage loan that you have to pay back. Your monthly payment includes a portion of that principal. When a payment on the principal is made, the borrower owes less, and will pay less interest based upon a lower loan size. Understand the difference between the interest rate and principal."
Property taxes,"Property taxes are taxes charged by local jurisdictions, typically at the county level, based upon the value of the property being taxed. Often, property taxes are collected within the homeowner's monthly mortgage payment, and then paid to the relevant jurisdiction one or more times each year. This is called an escrow account. If the loan does not have an escrow account, then the homeowner will pay the property taxes directly. ","Property taxes are taxes charged by local jurisdictions, typically at the county level, based upon the value of the property being taxed. Often, property taxes are collected within the homeowner's monthly mortgage payment, and then paid to the relevant jurisdiction one or more times each year. This is called an escrow account. If the loan does not have an escrow account, then the homeowner will pay the property taxes directly. "
Qualified mortgage,"A Qualified Mortgage is a category of loans that have certain, more stable features that help make it more likely that you'll be able to afford your loan. ","A Qualified Mortgage is a category of loans that have certain, more stable features that help make it more likely that you'll be able to afford your loan. "
Qualified Written Request (QWR),"A Qualified Written Request, or QWR, is written correspondence that you or someone acting on your behalf can send to your mortgageservicer. Instead of a QWR, you can also send your servicer a Notice of Error or a Request for Information. ","A Qualified Written Request, or QWR, is written correspondence that you or someone acting on your behalf can send to your mortgageservicer. Instead of a QWR, you can also send your servicer a Notice of Error or a Request for Information. "
Repayment plan,"A repayment plan is a structured way to make up your missed mortgage loan payments over a certain period of time. This is a type of loss mitigation. If you have trouble making your mortgage payments, your lender or servicer may allow you to enter into a repayment plan. Before entering into a repayment plan, make sure you understand the requirements of the plan and whether you will be able to make the new payments.","A repayment plan is a structured way to make up your missed mortgage loan payments over a certain period of time. This is a type of loss mitigation. If you have trouble making your mortgage payments, your lender or servicer may allow you to enter into a repayment plan. Before entering into a repayment plan, make sure you understand the requirements of the plan and whether you will be able to make the new payments."
Reverse mortgage,"A reverse mortgage allows homeowners age 62 or older to borrow against their home equity. It is called a ""reverse"" mortgage because, instead of making payments to the lender, you receive money from the lender. The money you receive, and the interest charged on the loan, increases the balance of your loan each month. Most reverse mortgages today are called HECMs, short for Home Equity Conversion Mortgage. Find out what you should consider before applying for a reverse mortgage.","A reverse mortgage allows homeowners age 62 or older to borrow against their home equity. It is called a ""reverse"" mortgage because, instead of making payments to the lender, you receive money from the lender. The money you receive, and the interest charged on the loan, increases the balance of your loan each month. Most reverse mortgages today are called HECMs, short for Home Equity Conversion Mortgage. Find out what you should consider before applying for a reverse mortgage."
Right of rescission,"The right of rescission refers to the right of a consumer to cancel certain types of loans. If you are buying a home with a mortgage, you do not have a right to cancel the loan once the closing documents are signed. However, if you are refinancing a mortgage, you have until midnight of the third business day after the transaction to rescind (cancel) the mortgage contract. The three-day clock does not start until you sign the credit contract (usually called the promissory note), you receive a Truth in Lending disclosure form, and you receive two copies of a notice explaining your right to rescind.","The right of rescission refers to the right of a consumer to cancel certain types of loans. If you are buying a home with a mortgage, you do not have a right to cancel the loan once the closing documents are signed. However, if you are refinancing a mortgage, you have until midnight of the third business day after the transaction to rescind (cancel) the mortgage contract. The three-day clock does not start until you sign the credit contract (usually called the promissory note), you receive a Truth in Lending disclosure form, and you receive two copies of a notice explaining your right to rescind."
Second mortgage,A second mortgage or junior lien is a loan you take out using your house as collateral while you still have another loan secured by your house. ,A second mortgage or junior lien is a loan you take out using your house as collateral while you still have another loan secured by your house. 
Security interest,The security interest is what lets the lender foreclose if you don't pay back the money you borrowed. ,The security interest is what lets the lender foreclose if you don't pay back the money you borrowed. 
Seller financing,Seller financing is a loan that the seller of your home makes to you. ,Seller financing is a loan that the seller of your home makes to you. 
Servicer,"Your mortgage servicer is the company that sends you your mortgage statements. Your servicer also handles the day-to-day tasks of managing your loan. Your loan servicer typically processes your loan payments, responds to borrower inquiries, keeps track of principal and interest paid, and manages your escrow account (if you have one). The loan servicer may initiate foreclosure under certain circumstances. Your servicer may or may not be the same company that originally gave you your loan.","Your mortgage servicer is the company that sends you your mortgage statements. Your servicer also handles the day-to-day tasks of managing your loan. Your loan servicer typically processes your loan payments, responds to borrower inquiries, keeps track of principal and interest paid, and manages your escrow account (if you have one). The loan servicer may initiate foreclosure under certain circumstances. Your servicer may or may not be the same company that originally gave you your loan."
Shared appreciation mortgage,"Under a shared appreciation mortgage, you agree to give your lender a share of any increase in the value of your home. ","Under a shared appreciation mortgage, you agree to give your lender a share of any increase in the value of your home. "
Short sale,"A short sale is a sale of your home for less than what you owe on your mortgage. A short sale is an alternative to foreclosure, but because it is a sale, you will have to leave your home. If your lender or servicer agrees to a short sale, you may be able to sell your home to pay off your mortgage, even if the sale price or proceeds turn out to be less than the balance remaining on your mortgage. A short sale is a type of loss mitigation. If you live in a state in which you are responsible for any deficiency, which is the difference between the value of your property and the amount you still owe on your mortgage loan, you will want to ask your lender to waive the deficiency. If the lender waives the deficiency, get the waiver in writing and keep it for your records.","A short sale is a sale of your home for less than what you owe on your mortgage. A short sale is an alternative to foreclosure, but because it is a sale, you will have to leave your home. If your lender or servicer agrees to a short sale, you may be able to sell your home to pay off your mortgage, even if the sale price or proceeds turn out to be less than the balance remaining on your mortgage. A short sale is a type of loss mitigation. If you live in a state in which you are responsible for any deficiency, which is the difference between the value of your property and the amount you still owe on your mortgage loan, you will want to ask your lender to waive the deficiency. If the lender waives the deficiency, get the waiver in writing and keep it for your records."
Subprime mortgage,"When lenders use the term, they generally mean a loan program for borrowers who do not qualify for a prime loan, often with a higher interest rate. ","When lenders use the term, they generally mean a loan program for borrowers who do not qualify for a prime loan, often with a higher interest rate. "
Survey,"A survey is a drawing of your property showing the location of the lot, the house and any other structures, as well as any improvements on the property. ","A survey is a drawing of your property showing the location of the lot, the house and any other structures, as well as any improvements on the property. "
Title service fees,"Title service fees are part of the closing costs you pay when getting a mortgage. When you purchase a home, you receive a document most often called a deed, which shows the seller transferred their legal ownership, or ""title,"" to the home to you. Title service fees are costs associated with issuing atitle insurance policy for the lender. ","Title service fees are part of the closing costs you pay when getting a mortgage. When you purchase a home, you receive a document most often called a deed, which shows the seller transferred their legal ownership, or ""title,"" to the home to you. Title service fees are costs associated with issuing atitle insurance policy for the lender. "
Total interest percentage (TIP),The Total Interest Percentage (TIP) is a disclosure that tells you how much interest you will pay over the life of your mortgage loan. ,The Total Interest Percentage (TIP) is a disclosure that tells you how much interest you will pay over the life of your mortgage loan. 
Total of payments,This number tells you the total amount of money you will have paid over the life of your mortgage. ,This number tells you the total amount of money you will have paid over the life of your mortgage. 
TRID,"""TRID"" is an acronym that some people use to refer to the TILARESPAIntegrated Disclosure rule. ","""TRID"" is an acronym that some people use to refer to the TILARESPAIntegrated Disclosure rule. "
USDA Loan,"The Rural Housing Service, part of the U. S. Department of Agriculture (USDA) offers mortgage programs with no down payment and generally favorable interest rates to rural homebuyers who meet the USDA's income eligibility requirements. ","The Rural Housing Service, part of the U. S. Department of Agriculture (USDA) offers mortgage programs with no down payment and generally favorable interest rates to rural homebuyers who meet the USDA's income eligibility requirements. "
VA loan,"A VA loan is a loan program offered by the Department of Veterans Affairs (VA) to help servicemembers, veterans, and eligible surviving spouses buy homes. The VA does not make the loans but sets the rules for who may qualify and the mortgage terms. The VA guarantees a portion of the loan to reduce the risk of loss to the lender. The loans generally are only available for a primary residence. If you're a veteran, find out if a VA loan is the right fit for you.","A VA loan is a loan program offered by the Department of Veterans Affairs (VA) to help servicemembers, veterans, and eligible surviving spouses buy homes. The VA does not make the loans but sets the rules for who may qualify and the mortgage terms. The VA guarantees a portion of the loan to reduce the risk of loss to the lender. The loans generally are only available for a primary residence. If you're a veteran, find out if a VA loan is the right fit for you."
